'bu'ji 不羈
'quan'min'ou'xiang 全民偶像
'juan'ya'gong'zi 眷雅公子
'lin'jia'ge'ge 鄰家哥哥
'xue'lang 雪狼
'wan'mei'xue'zhang 完美學長
'shen'mi'lai'ke 神秘來客
'mo'fa'jian'xi'sheng 魔法見習生
'ke'xue'jia 科學家
'ka'fei'dian'zhu 咖啡店主
'yin'yi'xia 銀翼俠
'qian'yong 淺慵
'jin'can 金燦
'jiu'hong 酒紅
'fen'bai'juan'mao 粉白捲毛
'jin'mi'juan'mao 金米捲毛
'hei'lan'juan'mao 黑藍捲毛
'bing'xue'zhan'shi 冰雪戰士
'meng'xi'zheng'tai 萌系正太
'qiu'fan 秋楓
'wei'duo'li'ya 維多利亞
'gui'fu'ren 貴婦人
'qiao'ma'wei 俏馬尾
'wei'zi 魏紫
'diao'fen 趙粉
'xiang'ri'kui 向日葵
'mi'hua'die 米花蝶
'tong'xin 童心
'qing'se'sui'yue 青澀歲月
'yun'duan'wu'niang 雲端舞孃
'qing'yin'chen 輕音塵
'liu'guang'qu 琉光曲
'bing'jing'you'yu 冰境幽語
'tian'shi'tu 天使兔
'hu'lu'chuan 葫蘆串
'hu'lu'ling'dang 葫蘆鈴鐺
'hu'lu'ling'dang'chuan 葫蘆鈴鐺串
'yin'le'gong'zhu 音樂公主
'huang'yuan'zhu 荒原珠
'zhong'xue'shao'nv 中學少女
'ke'ren 可人
'kuang'ye 狂野
'tian'jing'shi'guang 恬靜時光
'hua'lei 花蕾
'xiao'shi'zi 小獅子
'mai'sui 麥穗
'hong'dou'wen 紅豆吻
'hong'dou'zhi'wen 紅豆之吻
'cheng'yun 橙允
'lu'zhen 鹿珍
'qiao'ya'tou 俏丫頭
'wa'wa'lian 娃娃臉
'li'ren 麗人
'yang'liu 楊柳
'fu'gu'ying'lun 復古英倫
'xiao'hu'shi 小護士
'huang'jin'dao 黃金稻
'xi'bu'shao'nv 西部少女
'qi'si'dan'gao 起司蛋糕
'lv'zheng'jia'ren 律政佳人
'man'cheng 滿城
'meng'xiang 夢鄉
'jiao'rao 嬌嬈
'yue'yuan 月緣
'xiao'lu 小鹿
'wu'zhi'xing 舞之星
'ge'de'luo'li 哥德蘿莉
'zi'die 紫蝶
'shui'mu 水沐
'xiao'long'nv 小龍女
'ting'lan 汀蘭
'qian'fan 千楓
'gui'ji 鬼姬
'jian'mei'hu 纖媚狐
'hu'die 蝴蝶
'que'yin 雀吟
